Feature,Importance
infant feeding problem,0.0011204895883029687
problems during pregnancy,0.0010911076002266395
warts,0.0010856192521141274
groin pain,0.0010832256335623327
redness in ear,0.001072279360399934
regurgitation,0.00107125364435182
swollen eye,0.001070980451014124
vaginal redness,0.0010687243796193558
mass on eyelid,0.0010480790185880115
coryza,0.0010307337986729863
obsessions and compulsions,0.0010300716025447132
antisocial behavior,0.0010244365639137313
low back cramps or spasms,0.001010053269018515
loss of sex drive,0.0010028408863051866
foot or toe lump or mass,0.0009833459856500276
fluid retention,0.0009759853018163918
pulling at ears,0.0009224551921346321
irregular appearing nails,0.0009141535399155447
difficulty eating,0.0009131246117524048
flushing,0.000907836874828799
skin on leg or foot looks infected,0.0009008329902756031
bleeding gums,0.0008994998402932188
gum pain,0.0008851359042500806
plugged feeling in ear,0.0008648675752565196
regurgitation.1,0.0008409451460199717
apnea,0.0008281493580594765
too little hair,0.0008221942569325979
hand or finger lump or mass,0.0007800475764803208
jaw swelling,0.0007685039861411206
symptoms of the kidneys,0.0007351498805079673
symptoms of the face,0.0007339345844288136
cramps and spasms,0.0007209395523094503
symptoms of prostate,0.0007118889288667006
wrist lump or mass,0.0007101652329361957
wrist stiffness or tightness,0.0007064579771302683
melena,0.0006857717046341567
sinus congestion,0.0006725797814988263
wheezing,0.0006449105505351889
vaginal pain,0.000623468311046023
mouth dryness,0.0006116021215085349
throat redness,0.0006003617781142761
eyelid swelling,0.0005569176105126233
swollen or red tonsils,0.0005554983090378001
back cramps or spasms,0.0005512306531850982
hysterical behavior,0.0005428538980476569
hurts to breath,0.0005382776966324698
pelvic pressure,0.0005279899607320924
arm weakness,0.0005064128866276525
ankle weakness,0.0004840261964368256
recent pregnancy,0.00048402032794138655
bowlegged or knock-kneed,0.00046930504245013346
problems with shape or size of breast,0.00046488936061931855
coughing up sputum,0.0004422854365912788
stiffness all over,0.0004411025415437231
bladder mass,0.0004189393104658933
congestion in chest,0.00041451006179550907
joint swelling,0.0003940472039927598
penis redness,0.00038026796809866996
itchy scalp,0.00036519905116331244
shoulder weakness,0.0003630290117859564
hesitancy,0.0003560280908675161
vulvar irritation,0.00034410799828272847
poor circulation,0.0003290404557304144
breathing fast,0.00031886806161130225
painful menstruation,0.000310062562841213
cloudy eye,0.00030332675219122085
blood clots during menstrual periods,0.00030240203830788286
hand or finger cramps or spasms,0.000292808413843047
bedwetting,0.00029203571155618594
rib pain,0.000284164052252319
muscle weakness,0.00028353329069848366
kidney mass,0.0002824617821875896
penile discharge,0.00027567391291666375
bleeding from eye,0.00026923095852288836
pain in gums,0.0002668138743124223
infant spitting up,0.00026500030332397747
sneezing,0.0002595446320444971
neck cramps or spasms,0.0002555713640155039
back mass or lump,0.00025377332523936755
redness in or around nose,0.00024397066036655501
diaper rash,0.00024347620234962763
"muscle cramps, contractures, or spasms",0.0002420506761209888
shoulder lump or mass,0.00023953453935455384
low urine output,0.00023680211030606296
painful sinuses,0.00023452844719645049
foot or toe stiffness or tightness,0.0002315084540844886
drainage in throat,0.00021808202764584284
hand or finger weakness,0.00021646142626557572
lip sore,0.0002022268300092802
itching of the anus,0.0001994233303896963
premature ejaculation,0.00019911093779546854
arm lump or mass,0.00019721560559304618
mass or swelling around the anus,0.0001955834999812228
burning chest pain,0.00017543618338747055
postpartum problems of the breast,0.00017376747497775775
early or late onset of menopause,0.00014675836193600851
flu-like syndrome,0.00014008477780612147
abdominal distention,0.0001200709795966318
unusual color or odor to urine,0.00011607665834450942
sore in nose,0.00010446117151138768
vulvar sore,7.851358966267712e-05
wrinkles on skin,7.304280064879918e-05
hip stiffness or tightness,7.069834321114874e-05
frequent menstruation,6.882818515491999e-05
scanty menstrual flow,4.1131083188253225e-05
premenstrual tension or irritability,1.4664396737807355e-05
back stiffness or tightness,1.4383287857545803e-05
symptoms of infants,1.1131827298468023e-05
dry or flaky scalp,1.496377311689112e-06
infrequent menstruation,0.0
skin pain,0.0
ankle stiffness or tightness,0.0
hip weakness,0.0
mass on vulva,0.0
jaw pain,0.0
back swelling,0.0
pus in sputum,0.0
tongue pain,0.0
lump over jaw,0.0
elbow lump or mass,0.0
low back stiffness or tightness,0.0
nose deformity,0.0
problems with orgasm,0.0
stuttering or stammering,0.0
skin on head or neck looks infected,0.0
eyelid retracted,0.0
underweight,0.0
polyuria,0.0
hip swelling,0.0
feeling hot,0.0
hip lump or mass,0.0
low back swelling,0.0
pallor,0.0
foot or toe cramps or spasms,0.0
shoulder cramps or spasms,0.0
joint stiffness or tightness,0.0
change in skin mole size or color,0.0
eye strain,0.0
nailbiting,0.0
pus in urine,0.0
abnormal size or shape of ear,0.0
elbow cramps or spasms,0.0
feeling hot and cold,0.0
feet turned in,0.0
elbow stiffness or tightness,0.0
mass on ear,0.0
abnormal appearing tongue,0.0
arm cramps or spasms,0.0
throat irritation,0.0
swollen tongue,0.0
disturbance of smell or taste,0.0
discharge in stools,0.0
pupils unequal,0.0
thirst,0.0
sleepwalking,0.0
skin oiliness,0.0
knee cramps or spasms,0.0
posture problems,0.0
bleeding in mouth,0.0
tongue bleeding,0.0
neck weakness,0.0
